State/Union Territory,Intensity
Andaman and Nicobar Islands,0.2391304347826087
Andhra Pradesh,1.198019801980198
Arunachal Pradesh,0.058823529411764705
Assam,0.07304785894206549
Bihar,0.0544464609800363
Chandigarh,0.0019455252918287938
Chhattisgarh,0.05291005291005291
Delhi,0.07949013012304151
Goa,0.017766497461928935
Gujarat,0.7824675324675324
Haryana,0.2949389179755672
Himachal Pradesh,0.22764227642276422
Jammu and Kashmir,1.8775510204081634
Jharkhand,0.03140096618357488
Karnataka,0.6175548589341693
Kerala,0.41559953434225844
Ladakh,5.357142857142858
Madhya Pradesh,1.097457627118644
Maharashtra,3.736986301369863
Manipur,0.01639344262295082
Mizoram,0.019230769230769232
Odisha,0.16356877323420074
Puducherry,0.001924557351809084
Punjab,0.24
Rajasthan,2.3034825870646767
Tamil Nadu,1.5027027027027027
Telengana,1.516025641025641
Tripura,0.002857142857142857
Uttar Pradesh,0.5205314009661836
Uttarakhand,0.18518518518518517
West Bengal,0.11273080660835763
